,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,1,Manjeshwar,208104,158886,P. B. Abdul Razak,IUML,56870
2,1,Manjeshwar,208104,158886,K. Surendran,BJP,56781
3,1,Manjeshwar,208104,158886,C. H. Kunhambu,CPIM,42565
4,1,Manjeshwar,208104,158886,Basheer Ahamad,PDP,759
5,1,Manjeshwar,208104,158886,K. Sundara,IND,467
6,1,Manjeshwar,208104,158886,Ravichandra,BSP,365
7,1,Manjeshwar,208104,158886,K. P. Muneer,IND,224
8,1,Manjeshwar,208104,158886,John D'souza,IND,207
0,1,Manjeshwar,208104,158886,,NOTA,646
1,1,Manjeshwar,208104,158886,,Rejected votes,2
2,1,Manjeshwar,208104,158886,,Votes not retrieved from EVM,0
