,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,2,Kasaragod,188828,144773,N. A. Nellikkunnu,IUML,64727
2,2,Kasaragod,188828,144773,Ravisha Thanthri Kuntar,BJP,56120
3,2,Kasaragod,188828,144773,A. A. Ameen,INL,21615
4,2,Kasaragod,188828,144773,B. Vijayakumar,BSP,585
5,2,Kasaragod,188828,144773,Roshankumar,IND,508
6,2,Kasaragod,188828,144773,A. Damodaran,IND,283
7,2,Kasaragod,188828,144773,Muneer Munambam,IND,250
0,2,Kasaragod,188828,144773,,NOTA,661
1,2,Kasaragod,188828,144773,,Rejected votes,32
2,2,Kasaragod,188828,144773,,Votes not retrieved from EVM,0
