,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,3,Udma,199775,160909,K. Kunhiraman,CPIM,70679
2,3,Udma,199775,160909,K. Sudhakaran,INC,66847
3,3,Udma,199775,160909,K. Shreekanth,BJP,21231
4,3,Udma,199775,160909,Gopi Kuthirakallu,PDP,353
5,3,Udma,199775,160909,P. Damodaran,IND,349
6,3,Udma,199775,160909,Mohammed Pakyara,SDPI,331
7,3,Udma,199775,160909,Sudhakaran Cherukanam,IND,208
8,3,Udma,199775,160909,Govindan B. Alinthazhe,API,165
9,3,Udma,199775,160909,Abbas Muthalappara,IND,157
10,3,Udma,199775,160909,K. Kunhiraman Periyangananam,IND,145
0,3,Udma,199775,160909,,NOTA,405
1,3,Udma,199775,160909,,Rejected votes,54
2,3,Udma,199775,160909,,Votes not retrieved from EVM,0
