,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,4,Kanhangad,204407,161281,E. Chandrasekharan,CPI,80558
2,4,Kanhangad,204407,161281,Dhanya Suresh,INC,54547
3,4,Kanhangad,204407,161281,M. P. Raghavan,BDJS,21104
4,4,Kanhangad,204407,161281,Chandran Parappa,BSP,965
5,4,Kanhangad,204407,161281,Assainar Muttumthala,PDP,959
6,4,Kanhangad,204407,161281,R. Sajeevan,IND,663
7,4,Kanhangad,204407,161281,V. V. Muhammad Ali,IND,420
8,4,Kanhangad,204407,161281,Kookkal Balakrishnan,IND,294
9,4,Kanhangad,204407,161281,B. Raghavan Poodamkallu,API,272
10,4,Kanhangad,204407,161281,Balachandran Karimbil,SS,260
11,4,Kanhangad,204407,161281,K. U. Krishnakumar,IND,186
12,4,Kanhangad,204407,161281,M. Damodaran,IND,105
0,4,Kanhangad,204407,161281,,NOTA,856
1,4,Kanhangad,204407,161281,,Rejected votes,113
2,4,Kanhangad,204407,161281,,Votes not retrieved from EVM,0
