,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,5,Trikaripur,189819,155720,M. Rajagopalan,CPIM,79286
2,5,Trikaripur,189819,155720,K. P. Kunhikannan,INC,62327
3,5,Trikaripur,189819,155720,M. Bhaskaran,BJP,10767
4,5,Trikaripur,189819,155720,C. H. Muthalib,WPI,1029
5,5,Trikaripur,189819,155720,M. V. Shaukathali,SDPI,840
6,5,Trikaripur,189819,155720,P. P. Purushothaman,IND,263
7,5,Trikaripur,189819,155720,K. P. Kunhikannan Kandothumpurat,IND,183
8,5,Trikaripur,189819,155720,P. M. Kunjikannan Kuruvattu Veed,IND,109
9,5,Trikaripur,189819,155720,K. M. Sreedharan,IND,93
0,5,Trikaripur,189819,155720,,NOTA,774
1,5,Trikaripur,189819,155720,,Rejected votes,49
2,5,Trikaripur,189819,155720,,Votes not retrieved from EVM,0
