,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,8,Taliparamba,197195,159977,James Mathew,CPIM,91106
2,8,Taliparamba,197195,159977,Rajesh Nambiar,KCM,50489
3,8,Taliparamba,197195,159977,P. Balakrishnan Master,BJP,14742
4,8,Taliparamba,197195,159977,Ibrahim Thiruvattoor,SDPI,1323
5,8,Taliparamba,197195,159977,P. K. Ayyappan Master,BSP,675
6,8,Taliparamba,197195,159977,K. Sadanandan,IND,288
7,8,Taliparamba,197195,159977,Rajesh Kumar,IND,287
8,8,Taliparamba,197195,159977,P. V. Anil,IND,203
0,8,Taliparamba,197195,159977,,NOTA,867
1,8,Taliparamba,197195,159977,,Rejected votes,4
2,8,Taliparamba,197195,159977,,Votes not retrieved from EVM,0
