,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,9,Irikkur,188174,148073,K. C. Joseph,INC,72548
2,9,Irikkur,188174,148073,K. T. Jose,CPI,62901
3,9,Irikkur,188174,148073,A. P. Gangadharan,BJP,8294
4,9,Irikkur,188174,148073,Binoy Thomas,IND,2734
5,9,Irikkur,188174,148073,K. C. Joseph Kalayakkattil,IND,602
6,9,Irikkur,188174,148073,Rijo,IND,134
7,9,Irikkur,188174,148073,Rajeev Joseph,IND,123
8,9,Irikkur,188174,148073,A. K. Shaji,IND,103
9,9,Irikkur,188174,148073,A. V. Raveendran,IND,80
0,9,Irikkur,188174,148073,,NOTA,553
1,9,Irikkur,188174,148073,,Rejected votes,6
2,9,Irikkur,188174,148073,,Votes not retrieved from EVM,0
