,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,10,Azhikode,172105,141534,K. M. Shaji,IUML,63082
2,10,Azhikode,172105,141534,M. V. Nikesh Kumar,CPIM,60795
3,10,Azhikode,172105,141534,A. V. Kesavan,BJP,12580
4,10,Azhikode,172105,141534,K. K. Abdul Jabbar,SDPI,1705
5,10,Azhikode,172105,141534,P. K. Ragesh,IND,1518
6,10,Azhikode,172105,141534,M. Joseph John,WPI,687
7,10,Azhikode,172105,141534,P. C. Vivek,SUCIC,235
8,10,Azhikode,172105,141534,K. M. Shaji Tholambra,IND,196
9,10,Azhikode,172105,141534,K. M. Shaji Mamba,IND,160
10,10,Azhikode,172105,141534,V. P. Prasad,IND,87
0,10,Azhikode,172105,141534,,NOTA,453
1,10,Azhikode,172105,141534,,Rejected votes,36
2,10,Azhikode,172105,141534,,Votes not retrieved from EVM,0
