,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,11,Kannur,162625,126203,Ramachandran Kadannappalli,CS,54347
2,11,Kannur,162625,126203,Satheesan Pacheni,INC,53151
3,11,Kannur,162625,126203,K. G. Babu,BJP,13215
4,11,Kannur,162625,126203,K. P. Sufira,SDPI,2551
5,11,Kannur,162625,126203,C. P. Rahna Teacher,WPI,1134
6,11,Kannur,162625,126203,N. P. Sathar,IND,755
7,11,Kannur,162625,126203,K. Sudhakaran,IND,223
8,11,Kannur,162625,126203,Satheesan Pazhayadath,IND,97
9,11,Kannur,162625,126203,Satheesan Edathil Veedu,IND,79
10,11,Kannur,162625,126203,Ramachandran Thayala Purayil,IND,77
11,11,Kannur,162625,126203,Ramachandran Potheravalappil,IND,73
0,11,Kannur,162625,126203,,NOTA,517
1,11,Kannur,162625,126203,,Rejected votes,25
2,11,Kannur,162625,126203,,Votes not retrieved from EVM,0
