,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,13,Thalassery,166652,132674,A. N. Shamseer,CPIM,70741
2,13,Thalassery,166652,132674,A. P. Abdullakutty,INC,36624
3,13,Thalassery,166652,132674,V. K. Sajeevan,BJP,22125
4,13,Thalassery,166652,132674,Jabeena Irshad,WPI,1337
5,13,Thalassery,166652,132674,A. C. Jalaludheen,SDPI,959
6,13,Thalassery,166652,132674,Balakrishnan Kodiyeri,IND,129
7,13,Thalassery,166652,132674,Thayyil Vattakkandy Sajeevan V K,IND,125
8,13,Thalassery,166652,132674,Danish Mahal A. P. Abdullakutty,IND,112
0,13,Thalassery,166652,132674,,NOTA,514
1,13,Thalassery,166652,132674,,Rejected votes,37
2,13,Thalassery,166652,132674,,Votes not retrieved from EVM,0
