,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,14,Kuthuparamba,179886,146611,K. K. Shylaja Teacher,CPIM,67013
2,14,Kuthuparamba,179886,146611,K. P. Mohanan S/O P R Kurup,JDU,54722
3,14,Kuthuparamba,179886,146611,C. Sadanandan Master,BJP,20787
4,14,Kuthuparamba,179886,146611,K. C. Muhammad Shabeer,SDPI,1681
5,14,Kuthuparamba,179886,146611,K. P. Mohanan Vedichalil,IND,1041
6,14,Kuthuparamba,179886,146611,K. P. Mohanan Hridyam,IND,355
7,14,Kuthuparamba,179886,146611,K. Raghunath,IND,296
8,14,Kuthuparamba,179886,146611,K. P. Shylaja Prasanth,IND,265
9,14,Kuthuparamba,179886,146611,Shylaja Nelliyulla Parambath,IND,163
0,14,Kuthuparamba,179886,146611,,NOTA,501
1,14,Kuthuparamba,179886,146611,,Rejected votes,24
2,14,Kuthuparamba,179886,146611,,Votes not retrieved from EVM,0
