,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,16,Peravoor,168330,136526,Sunny Joseph,INC,65659
2,16,Peravoor,168330,136526,Binoy Kurian,CPIM,57670
3,16,Peravoor,168330,136526,Paily Vathiattu,BDJS,9129
4,16,Peravoor,168330,136526,P. K. Farookh,SDPI,1935
5,16,Peravoor,168330,136526,Pallipram Prasannan,WPI,513
6,16,Peravoor,168330,136526,Sunny Joseph Kallarakkal,IND,389
7,16,Peravoor,168330,136526,K. J. Joseph,IND,241
8,16,Peravoor,168330,136526,Bijoy Kurian,IND,214
9,16,Peravoor,168330,136526,V. D. Binto,IND,124
10,16,Peravoor,168330,136526,Sunny,IND,110
11,16,Peravoor,168330,136526,Radhamani Narayana Kumar,IND,63
0,16,Peravoor,168330,136526,,NOTA,458
1,16,Peravoor,168330,136526,,Rejected votes,28
2,16,Peravoor,168330,136526,,Votes not retrieved from EVM,0
