,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,17,Mananthavady,187688,145596,O. R. Kelu,CPIM,62436
2,17,Mananthavady,187688,145596,P. K. Jayalakshmi,INC,61129
3,17,Mananthavady,187688,145596,K. Mohandas,BJP,16230
4,17,Mananthavady,187688,145596,P. N. Soman,SDPI,1377
5,17,Mananthavady,187688,145596,Lakshmi,IND,1300
6,17,Mananthavady,187688,145596,Annan Madakkimala,BSP,679
7,17,Mananthavady,187688,145596,Kelu Chayimmal,IND,583
8,17,Mananthavady,187688,145596,Vijayan,CPIMLR,224
9,17,Mananthavady,187688,145596,K. Usha,IND,205
10,17,Mananthavady,187688,145596,Kelu Kolliyil,IND,196
11,17,Mananthavady,187688,145596,Nittamani K. Kunhiraman,IND,183
0,17,Mananthavady,187688,145596,,NOTA,1050
1,17,Mananthavady,187688,145596,,Rejected votes,4
2,17,Mananthavady,187688,145596,,Votes not retrieved from EVM,0
