,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,18,Sulthanbathery,218199,172044,I. C. Balakrishnan,INC,75747
2,18,Sulthanbathery,218199,172044,Rugmini Subrahmanian,CPIM,64549
3,18,Sulthanbathery,218199,172044,C. K. Janu,NDA,27920
4,18,Sulthanbathery,218199,172044,Mukundan Cheengeri,BSP,791
5,18,Sulthanbathery,218199,172044,Madhavi,CPIMLR,609
6,18,Sulthanbathery,218199,172044,K. K. Vasu,SP,478
7,18,Sulthanbathery,218199,172044,Balakrishnan Edakkal,IND,387
8,18,Sulthanbathery,218199,172044,T. R. Sreedharan,SUCIC,262
0,18,Sulthanbathery,218199,172044,,NOTA,1261
1,18,Sulthanbathery,218199,172044,,Rejected votes,40
2,18,Sulthanbathery,218199,172044,,Votes not retrieved from EVM,0
