,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,19,Kalpetta,190879,150970,C. K. Saseendran,CPIM,72959
2,19,Kalpetta,190879,150970,M. V. Shreyams Kumar,JDU,59876
3,19,Kalpetta,190879,150970,K. Sadanandan,BJP,12938
4,19,Kalpetta,190879,150970,Joseph Ambalavayal,WPI,900
5,19,Kalpetta,190879,150970,K. A. Ayoob,SDPI,837
6,19,Kalpetta,190879,150970,Madayi Latheef,IND,594
7,19,Kalpetta,190879,150970,Sreyams Kumar Anjana House,IND,498
8,19,Kalpetta,190879,150970,Sujayakumar,CPIMLR,468
9,19,Kalpetta,190879,150970,Moideen Chembothara,IND,451
10,19,Kalpetta,190879,150970,N. M. Sandhya,IND,214
0,19,Kalpetta,190879,150970,,NOTA,1172
1,19,Kalpetta,190879,150970,,Rejected votes,63
2,19,Kalpetta,190879,150970,,Votes not retrieved from EVM,0
