,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,20,Vadakara,158057,129590,C. K. Nanu,JDS,49211
2,20,Vadakara,158057,129590,Manayath Chandran,JDU,39700
3,20,Vadakara,158057,129590,K. K. Rema T P House,IND,20504
4,20,Vadakara,158057,129590,M. Rajesh Kumar,BJP,13937
5,20,Vadakara,158057,129590,P. Abdul Hameed Master,SDPI,2673
6,20,Vadakara,158057,129590,Madapparambath Chandran,IND,1648
7,20,Vadakara,158057,129590,K. K. Rema Kuniyil,IND,352
8,20,Vadakara,158057,129590,P. P. Stalin,CPIMLR,284
9,20,Vadakara,158057,129590,T. K. Nanu Thazhe Kandoth,IND,279
10,20,Vadakara,158057,129590,Mathath Chandran,IND,240
11,20,Vadakara,158057,129590,T. P. Rama Vadakke Eroth,IND,238
0,20,Vadakara,158057,129590,,NOTA,506
1,20,Vadakara,158057,129590,,Rejected votes,18
2,20,Vadakara,158057,129590,,Votes not retrieved from EVM,0
