,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,21,Kuttiadi,181907,157814,Parakkal Abdulla,IUML,71809
2,21,Kuttiadi,181907,157814,K. K. Lathika,CPIM,70652
3,21,Kuttiadi,181907,157814,Ramadas Manaleri,BJP,12327
4,21,Kuttiadi,181907,157814,P. C. Baskaran,WPI,1125
5,21,Kuttiadi,181907,157814,Sabu Kakkattil,SP,860
6,21,Kuttiadi,181907,157814,K. C. Kumaran,IND,220
7,21,Kuttiadi,181907,157814,Naranathu Muhammad,PDP,118
8,21,Kuttiadi,181907,157814,Parakkal Abdulla Palliyath,IND,85
9,21,Kuttiadi,181907,157814,S. R. Khan Maniyoor,IND,76
10,21,Kuttiadi,181907,157814,Palliyil Abdulla,IND,62
11,21,Kuttiadi,181907,157814,Aluva Aneesh,IND,57
12,21,Kuttiadi,181907,157814,Paremmal Abdulla,IND,44
0,21,Kuttiadi,181907,157814,,NOTA,375
1,21,Kuttiadi,181907,157814,,Rejected votes,4
2,21,Kuttiadi,181907,157814,,Votes not retrieved from EVM,0
