,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,22,Nadapuram,200522,162950,E. K. Vijayan,CPI,74742
2,22,Nadapuram,200522,162950,K. Praveenkumar,INC,69983
3,22,Nadapuram,200522,162950,M. P. Rajan,BJP,14493
4,22,Nadapuram,200522,162950,Abdul Raheem,SDPI,2183
5,22,Nadapuram,200522,162950,K. K. Vasu,BSP,377
6,22,Nadapuram,200522,162950,E. K. Vijayan Komath,IND,220
7,22,Nadapuram,200522,162950,Praveen Kumar Thayullathil (H),IND,171
8,22,Nadapuram,200522,162950,Praveen Rayaroth Thazhikuni,IND,163
9,22,Nadapuram,200522,162950,Aluva Aneesh,IND,151
0,22,Nadapuram,200522,162950,,NOTA,446
1,22,Nadapuram,200522,162950,,Rejected votes,21
2,22,Nadapuram,200522,162950,,Votes not retrieved from EVM,0
