,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,23,Quilandy,188135,153726,K. Dasan,CPIM,70593
2,23,Quilandy,188135,153726,N. Subramanian,INC,57224
3,23,Quilandy,188135,153726,K. Rajinesh Babu,BJP,22087
4,23,Quilandy,188135,153726,Ismayil Kammana,SDPI,798
5,23,Quilandy,188135,153726,M. K. Rasal,PDP,703
6,23,Quilandy,188135,153726,Parappil Balakrishnan,BSP,678
7,23,Quilandy,188135,153726,M. N. Subramanian Kakkudumbil Mi,IND,489
8,23,Quilandy,188135,153726,P. K. Dasan Pazhunthum Koottathi,IND,167
9,23,Quilandy,188135,153726,P M Sreekumar,SUCIC,149
10,23,Quilandy,188135,153726,P. M. Kunhikannan,CPIMLR,126
0,23,Quilandy,188135,153726,,NOTA,653
1,23,Quilandy,188135,153726,,Rejected votes,56
2,23,Quilandy,188135,153726,,Votes not retrieved from EVM,0
