,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,24,Perambra,179200,153429,T. P. Ramakrishnan,CPIM,72359
2,24,Perambra,179200,153429,Mohammed Ikbal,KCM,68258
3,24,Perambra,179200,153429,Sukumaran Nair,BDJS,8561
4,24,Perambra,179200,153429,Razsaq Paleri,WPI,1673
5,24,Perambra,179200,153429,K. P. Gopi,SDPI,1036
6,24,Perambra,179200,153429,Muhammad Iqbal Bappu Baith,IND,637
7,24,Perambra,179200,153429,M. T. Muhammed Master,CPIMLR,224
8,24,Perambra,179200,153429,Muhammed Iqbal Pallath,IND,148
0,24,Perambra,179200,153429,,NOTA,616
1,24,Perambra,179200,153429,,Rejected votes,35
2,24,Perambra,179200,153429,,Votes not retrieved from EVM,1
