,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,25,Balusseri,209503,174595,Purushan Kadalundy,CPIM,82914
2,25,Balusseri,209503,174595,U. C. Raman Padanilam,MLIND,67450
3,25,Balusseri,209503,174595,P. K. Supran,BJP,19324
4,25,Balusseri,209503,174595,Balan Naduvannur,SDPI,1764
5,25,Balusseri,209503,174595,Saseendran Bappankad,WPI,959
6,25,Balusseri,209503,174595,Raman Thachampoyil Meethal,IND,710
7,25,Balusseri,209503,174595,K. T. Sivan,IND,497
8,25,Balusseri,209503,174595,Jayarajan,IND,312
0,25,Balusseri,209503,174595,,NOTA,638
1,25,Balusseri,209503,174595,,Rejected votes,33
2,25,Balusseri,209503,174595,,Votes not retrieved from EVM,0
