,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,27,Kozhikode North,169590,132647,A. Pradeep Kumar,CPIM,64192
2,27,Kozhikode North,169590,132647,P. M. Suresh Babu,INC,36319
3,27,Kozhikode North,169590,132647,K. P. Sreesan,BJP,29860
4,27,Kozhikode North,169590,132647,K. P. Velayudhan,BSP,457
5,27,Kozhikode North,169590,132647,Abdul Vahid,SDPI,351
6,27,Kozhikode North,169590,132647,S. Jennifer,SUCIC,208
7,27,Kozhikode North,169590,132647,E. Pradeep Kumar Peedikathodi,IND,187
8,27,Kozhikode North,169590,132647,T. Suresh Babu Kamaladhalam,IND,151
9,27,Kozhikode North,169590,132647,Abdu Samad,KJP,122
0,27,Kozhikode North,169590,132647,,NOTA,770
1,27,Kozhikode North,169590,132647,,Rejected votes,30
2,27,Kozhikode North,169590,132647,,Votes not retrieved from EVM,0
