,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,28,Kozhikode South,148895,115626,M. K. Muneer,IUML,49863
2,28,Kozhikode South,148895,115626,Abdul Vahab,INL,43536
3,28,Kozhikode South,148895,115626,Satheesh Kuttiyil,BDJS,19146
4,28,Kozhikode South,148895,115626,U. K. Deysi Balasubramanian,SDPI,593
5,28,Kozhikode South,148895,115626,Kamala Pavithran,BSP,480
6,28,Kozhikode South,148895,115626,A. P. Abdul Vahab,IND,287
7,28,Kozhikode South,148895,115626,A. K. Sajan,IND,227
8,28,Kozhikode South,148895,115626,Abdul Sathar,IND,211
9,28,Kozhikode South,148895,115626,Muneer Davari,IND,190
10,28,Kozhikode South,148895,115626,T. Premanand,IND,166
11,28,Kozhikode South,148895,115626,Abdul Muneer,IND,130
0,28,Kozhikode South,148895,115626,,NOTA,788
1,28,Kozhikode South,148895,115626,,Rejected votes,9
2,28,Kozhikode South,148895,115626,,Votes not retrieved from EVM,0
