,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,29,Beypore,190986,155710,V. K. C. Mammed Koya,CPIM,69114
2,29,Beypore,190986,155710,M. P. Adam Mulsi,INC,54751
3,29,Beypore,190986,155710,Prakash Babu,BJP,27958
4,29,Beypore,190986,155710,P. C. Muhammedkutty Master,WPI,1387
5,29,Beypore,190986,155710,Musthafa Kommeri,SDPI,1126
6,29,Beypore,190986,155710,V. K. Mammed Koya V K House,IND,355
7,29,Beypore,190986,155710,Adam Malique,IND,199
8,29,Beypore,190986,155710,K. V. Adam,IND,109
9,29,Beypore,190986,155710,Ajeesh Kumar Erakkathil,IND,105
0,29,Beypore,190986,155710,,NOTA,605
1,29,Beypore,190986,155710,,Rejected votes,11
2,29,Beypore,190986,155710,,Votes not retrieved from EVM,0
