,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,30,Kunnamangalam,209958,180351,P. T. A. Rahim,LDF,77410
2,30,Kunnamangalam,209958,180351,T. Siddiqu,INC,66205
3,30,Kunnamangalam,209958,180351,C. K. Padmanabhan,BJP,32702
4,30,Kunnamangalam,209958,180351,Latheef Anora,SDPI,1252
5,30,Kunnamangalam,209958,180351,K. P. Raheem Mele Chettukuzhiyil,IND,726
6,30,Kunnamangalam,209958,180351,P. P. Rajan,BSP,304
7,30,Kunnamangalam,209958,180351,P. Sidheeq Panniyookkil,IND,212
8,30,Kunnamangalam,209958,180351,T. P. Siddeeque Thalappoyil,IND,206
9,30,Kunnamangalam,209958,180351,Aboobacker Sidhiqu,IND,176
0,30,Kunnamangalam,209958,180351,,NOTA,1148
1,30,Kunnamangalam,209958,180351,,Rejected votes,10
2,30,Kunnamangalam,209958,180351,,Votes not retrieved from EVM,0
