,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,31,Koduvally,167618,137402,Karat Razack,LDF,61033
2,31,Koduvally,167618,137402,M. A. Razak Master,IUML,60460
3,31,Koduvally,167618,137402,Ali Akbar,BJP,11537
4,31,Koduvally,167618,137402,P. K. Zakariyya,WPI,1566
5,31,Koduvally,167618,137402,E. Nazar,SDPI,1466
6,31,Koduvally,167618,137402,K. T. Abdul Razak,IND,352
7,31,Koduvally,167618,137402,Sayyid Hussain Jiffiri Thangal,IND,281
8,31,Koduvally,167618,137402,K. P. Aboobacker,IND,112
0,31,Koduvally,167618,137402,,NOTA,582
1,31,Koduvally,167618,137402,,Rejected votes,13
2,31,Koduvally,167618,137402,,Votes not retrieved from EVM,0
