,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,32,Thiruvambady,168262,135697,George M. Thomas,CPIM,62324
2,32,Thiruvambady,168262,135697,V. M. Ummer Master,IUML,59316
3,32,Thiruvambady,168262,135697,Giri Pambanal,BDJS,8749
4,32,Thiruvambady,168262,135697,Raju Punnakkal,WPI,2226
5,32,Thiruvambady,168262,135697,Simon Thonakkara,IND,641
6,32,Thiruvambady,168262,135697,T. P. Mohammed,SDPI,569
7,32,Thiruvambady,168262,135697,Noushad Kodiyathur,PDP,517
8,32,Thiruvambady,168262,135697,Sibi Vayalil,IND,426
9,32,Thiruvambady,168262,135697,C. M. Ummer Chokliyil,IND,77
10,32,Thiruvambady,168262,135697,Ummar Vilangot,IND,65
0,32,Thiruvambady,168262,135697,,NOTA,776
1,32,Thiruvambady,168262,135697,,Rejected votes,11
2,32,Thiruvambady,168262,135697,,Votes not retrieved from EVM,0
