,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,33,Kondotty,188264,149595,T. V. Ibrahim,IUML,69668
2,33,Kondotty,188264,149595,K. P. Beerankutty,LDF,59014
3,33,Kondotty,188264,149595,K. Ramachandran,BJP,12513
4,33,Kondotty,188264,149595,Nazarudheen Elamaram,SDPI,3667
5,33,Kondotty,188264,149595,Saleem Vazhakkad,WPI,2344
6,33,Kondotty,188264,149595,Abdul Gaffoor Vavoor,PDP,566
7,33,Kondotty,188264,149595,K. P. Veerankutty,IND,442
8,33,Kondotty,188264,149595,Sulfikar Ali Ambal,IND,316
9,33,Kondotty,188264,149595,K. Kadeeja,AITC,267
10,33,Kondotty,188264,149595,Ibrahim Cholakkad,IND,176
0,33,Kondotty,188264,149595,,NOTA,581
1,33,Kondotty,188264,149595,,Rejected votes,39
2,33,Kondotty,188264,149595,,Votes not retrieved from EVM,0
