,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,34,Eranad,165979,135856,P. K. Basheer,IUML,69048
2,34,Eranad,165979,135856,Abdurahiman,LDF,56155
3,34,Eranad,165979,135856,K. P. Baburaj Master Thundathil,BJP,6055
4,34,Eranad,165979,135856,Ummer Chelakkode,SP,1298
5,34,Eranad,165979,135856,Velayudhan,BSP,885
6,34,Eranad,165979,135856,K. T. Abdul Rahiman,IND,825
7,34,Eranad,165979,135856,Farooq Chengara,PDP,536
8,34,Eranad,165979,135856,V. K. Basheer,IND,245
9,34,Eranad,165979,135856,K. V. Shahanas,IND,193
10,34,Eranad,165979,135856,P. K. Basheer,IND,149
0,34,Eranad,165979,135856,,NOTA,461
1,34,Eranad,165979,135856,,Rejected votes,6
2,34,Eranad,165979,135856,,Votes not retrieved from EVM,0
