,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,37,Manjeri,190187,138976,M. Ummer,IUML,69779
2,37,Manjeri,190187,138976,K Mohandas,CPI,50163
3,37,Manjeri,190187,138976,C. Dinesh,BJP,11223
4,37,Manjeri,190187,138976,K. A. Savad,WPI,2503
5,37,Manjeri,190187,138976,C. H. Ashraf,SDPI,2357
6,37,Manjeri,190187,138976,Moyin Bappu,PDP,1121
7,37,Manjeri,190187,138976,V. M. Musthafa,IND,887
0,37,Manjeri,190187,138976,,NOTA,913
1,37,Manjeri,190187,138976,,Rejected votes,30
2,37,Manjeri,190187,138976,,Votes not retrieved from EVM,0
