,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,38,Perinthalmanna,194727,151439,Manjalamkuzhi Ali,IUML,70990
2,38,Perinthalmanna,194727,151439,V. Sasikumar,CPIM,70411
3,38,Perinthalmanna,194727,151439,M. K. Sunil,BJP,5917
4,38,Perinthalmanna,194727,151439,Saleem Mampad,WPI,1757
5,38,Perinthalmanna,194727,151439,Suniya Siraj,SDPI,698
6,38,Perinthalmanna,194727,151439,Palathingal Aboobacker,IND,671
7,38,Perinthalmanna,194727,151439,Sayyid Musthafa Pookoya Thangal,PDP,335
8,38,Perinthalmanna,194727,151439,Anwar Shakeel Omar,IND,125
0,38,Perinthalmanna,194727,151439,,NOTA,507
1,38,Perinthalmanna,194727,151439,,Rejected votes,28
2,38,Perinthalmanna,194727,151439,,Votes not retrieved from EVM,0
