,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,39,Mankada,194288,151210,T. A. Ahammed Kabeer,IUML,69165
2,39,Mankada,194288,151210,T. K. Rasheed Ali,CPIM,67657
3,39,Mankada,194288,151210,B. Ratheesh,BJP,6641
4,39,Mankada,194288,151210,Hameed Vaniyambalam,WPI,3999
5,39,Mankada,194288,151210,A. A. Raheem,SDPI,1456
6,39,Mankada,194288,151210,O. T. Shihab,PDP,273
7,39,Mankada,194288,151210,Ahamed Kabeer Muttengadan,IND,218
8,39,Mankada,194288,151210,M. K. Ahammedul Kabeer,IND,119
9,39,Mankada,194288,151210,Anwar Shakeel Omar,IND,92
0,39,Mankada,194288,151210,,NOTA,479
1,39,Mankada,194288,151210,,Rejected votes,14
2,39,Mankada,194288,151210,,Votes not retrieved from EVM,981
