,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,42,Vallikkunnu,183523,137533,Abdul Hameed Master,IUML,59720
2,42,Vallikkunnu,183523,137533,O. K. Thangal,INL,47110
3,42,Vallikkunnu,183523,137533,Janachandran Master,BJP,22887
4,42,Vallikkunnu,183523,137533,Nissar Methar,PDP,2975
5,42,Vallikkunnu,183523,137533,Haneefa Haji,SDPI,2499
6,42,Vallikkunnu,183523,137533,Praveen Kumar,BSP,705
7,42,Vallikkunnu,183523,137533,Ansas Kodakkattakath,CPIMLR,262
8,42,Vallikkunnu,183523,137533,Balakrishnan Maneeri,IND,192
9,42,Vallikkunnu,183523,137533,Aboobacker Alias K. K. Aboo,IND,176
10,42,Vallikkunnu,183523,137533,Abdul Nazer,IND,106
11,42,Vallikkunnu,183523,137533,V. P. Padmakumar,IND,100
0,42,Vallikkunnu,183523,137533,,NOTA,752
1,42,Vallikkunnu,183523,137533,,Rejected votes,49
2,42,Vallikkunnu,183523,137533,,Votes not retrieved from EVM,0
