,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,43,Tirurangadi,182655,135258,P. K. Abdu Rabb,IUML,62927
2,43,Tirurangadi,182655,135258,Niyas Pulikkalakath,LDF,56884
3,43,Tirurangadi,182655,135258,P. V. Geetha Madhavan,BJP,8046
4,43,Tirurangadi,182655,135258,K. C. Naseer,SDPI,2478
5,43,Tirurangadi,182655,135258,Maliyatt Abdurazak Haji,PDP,1902
6,43,Tirurangadi,182655,135258,Minu Mumthaz,WPI,1270
7,43,Tirurangadi,182655,135258,Niyas Paroli,IND,541
8,43,Tirurangadi,182655,135258,Haneefa,IND,294
9,43,Tirurangadi,182655,135258,Niyas Thazhathethil,IND,181
10,43,Tirurangadi,182655,135258,Yoonus Saleem Poozhithara,CPIMLR,93
0,43,Tirurangadi,182655,135258,,NOTA,630
1,43,Tirurangadi,182655,135258,,Rejected votes,20
2,43,Tirurangadi,182655,135258,,Votes not retrieved from EVM,0
