,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,44,Tanur,175511,140838,V. Abdurahiman,NSC,64472
2,44,Tanur,175511,140838,Abdurahiman Randathani,IUML,59554
3,44,Tanur,175511,140838,P. R. Rasmilnath,BJP,11051
4,44,Tanur,175511,140838,Asharaf Vailathur,WPI,1291
5,44,Tanur,175511,140838,K. K. Majeed Khasimi,SDPI,1151
6,44,Tanur,175511,140838,Anwar Pannikkandathil,PDP,858
7,44,Tanur,175511,140838,P. T. Unni,IND,708
8,44,Tanur,175511,140838,V. Abdurahiman Vayangatil,IND,672
9,44,Tanur,175511,140838,V. Abdurahiman Varokkottil,IND,172
10,44,Tanur,175511,140838,N. Ramakrishnan Master,IND,139
11,44,Tanur,175511,140838,Thami,IND,81
12,44,Tanur,175511,140838,V. Abdurahiman Vayarakath,IND,66
13,44,Tanur,175511,140838,Abdurahiman Puthanmaliyekkal,IND,54
0,44,Tanur,175511,140838,,NOTA,569
1,44,Tanur,175511,140838,,Rejected votes,0
2,44,Tanur,175511,140838,,Votes not retrieved from EVM,0
