,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,45,Tirur,204129,156792,C. Mammutty,IUML,73432
2,45,Tirur,204129,156792,Gafoor P. Lillis,NSC,66371
3,45,Tirur,204129,156792,M. K. Devidasan,BJP,9083
4,45,Tirur,204129,156792,Ganesh Vaderi,WPI,2001
5,45,Tirur,204129,156792,Ibrahim Tirur,SDPI,1828
6,45,Tirur,204129,156792,Shameer Payyanangadi,PDP,1276
7,45,Tirur,204129,156792,E. K. Gafoor,IND,791
8,45,Tirur,204129,156792,Mammutty Muyyarikandi,IND,485
9,45,Tirur,204129,156792,Sahadevan,IND,402
10,45,Tirur,204129,156792,Mammutty Kooliparamban,IND,201
11,45,Tirur,204129,156792,Mammutty Mandamkandi,IND,132
12,45,Tirur,204129,156792,Bappu Vadakkayil,IND,60
0,45,Tirur,204129,156792,,NOTA,692
1,45,Tirur,204129,156792,,Rejected votes,31
2,45,Tirur,204129,156792,,Votes not retrieved from EVM,0
