,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,46,Kottakkal,198642,148470,Abid Hussain Thangal,IUML,71768
2,46,Kottakkal,198642,148470,N. A. Muhammed Kutty (Mammooty),NCP,56726
3,46,Kottakkal,198642,148470,V. Unnikrishnan Master,BJP,13205
4,46,Kottakkal,198642,148470,Neyyathoor Kunhimohamed,PDP,2763
5,46,Kottakkal,198642,148470,K. P. O. Rahmathulla,SDPI,1719
6,46,Kottakkal,198642,148470,C. Muhammed Kutty,IND,579
7,46,Kottakkal,198642,148470,Villan Mohammed Kutty,IND,429
8,46,Kottakkal,198642,148470,Bindu Devarajan,IND,223
9,46,Kottakkal,198642,148470,Sainul Abid Thangal,IND,150
10,46,Kottakkal,198642,148470,K. Beeran,IND,105
0,46,Kottakkal,198642,148470,,NOTA,806
1,46,Kottakkal,198642,148470,,Rejected votes,5
2,46,Kottakkal,198642,148470,,Votes not retrieved from EVM,0
