,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,47,Thavanur,184684,142122,K. T. Jaleel,LDF,68179
2,47,Thavanur,184684,142122,Ifthiquarudheen Master,INC,51115
3,47,Thavanur,184684,142122,Ravi Thelath,BJP,15801
4,47,Thavanur,184684,142122,P. K Jaleel Parakkuzhiyil,SDPI,2649
5,47,Thavanur,184684,142122,Ali Kadampuzha,PDP,1077
6,47,Thavanur,184684,142122,Muhammed Ponnani,WPI,1007
7,47,Thavanur,184684,142122,P. P. Ifthikarudheen,IND,601
8,47,Thavanur,184684,142122,O. V. Appunni,IND,443
9,47,Thavanur,184684,142122,K. T. Jaleel Kanhirathodika,IND,272
10,47,Thavanur,184684,142122,K. A. Jaleel Kottilil,IND,251
11,47,Thavanur,184684,142122,Sonia Pinto,AITC,133
12,47,Thavanur,184684,142122,K. T. Jaleel Kunnnathodi,IND,124
0,47,Thavanur,184684,142122,,NOTA,473
1,47,Thavanur,184684,142122,,Rejected votes,8
2,47,Thavanur,184684,142122,,Votes not retrieved from EVM,0
