,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,48,Ponnani,190378,141762,P. Sreeramakrishnan,CPIM,69332
2,48,Ponnani,190378,141762,P. T. Ajai Mohan,INC,53692
3,48,Ponnani,190378,141762,K. K. Surendran,BJP,11662
4,48,Ponnani,190378,141762,M. M. Shakkir,WPI,2048
5,48,Ponnani,190378,141762,M. Moidunni Haji,PDP,1857
6,48,Ponnani,190378,141762,Abdul Fathah,SDPI,1659
7,48,Ponnani,190378,141762,P. S. Sindhukumari,AITC,386
8,48,Ponnani,190378,141762,Ajay Mohan,IND,240
9,48,Ponnani,190378,141762,Ramakrishnan Pudussery,IND,140
10,48,Ponnani,190378,141762,Ramakrishnan Njavanenghat,IND,82
11,48,Ponnani,190378,141762,Koyilan Ramakrishnan,IND,61
0,48,Ponnani,190378,141762,,NOTA,604
1,48,Ponnani,190378,141762,,Rejected votes,13
2,48,Ponnani,190378,141762,,Votes not retrieved from EVM,0
