,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,49,Thrithala,178562,141053,V. T. Balram,INC,66505
2,49,Thrithala,178562,141053,Subaida Issac,CPIM,55958
3,49,Thrithala,178562,141053,V. T. Rema,BJP,14510
4,49,Thrithala,178562,141053,C. P. Mohammedali,SDPI,1313
5,49,Thrithala,178562,141053,Subaida,IND,1080
6,49,Thrithala,178562,141053,Moideen Kutty Pookkath,PDP,541
7,49,Thrithala,178562,141053,Vinod Perumannoor,BSP,366
8,49,Thrithala,178562,141053,Balaram,IND,199
0,49,Thrithala,178562,141053,,NOTA,549
1,49,Thrithala,178562,141053,,Rejected votes,32
2,49,Thrithala,178562,141053,,Votes not retrieved from EVM,0
