,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,50,Pattambi,179768,140128,Muhammed Muhassin,CPI,64025
2,50,Pattambi,179768,140128,C. P. Mohammed,INC,56621
3,50,Pattambi,179768,140128,P. Manoj,BJP,14824
4,50,Pattambi,179768,140128,C. Abdul Raoof,SDPI,1848
5,50,Pattambi,179768,140128,M. A. Moideenkutty Master,WPI,815
6,50,Pattambi,179768,140128,Muhsin,IND,525
7,50,Pattambi,179768,140128,P. Aboobacker,PDP,422
8,50,Pattambi,179768,140128,Muhasin Pacheri,IND,315
9,50,Pattambi,179768,140128,Muhammed Cheruvasseri Palliyalil,IND,126
10,50,Pattambi,179768,140128,Mohamed Muhsin Paloli,IND,101
11,50,Pattambi,179768,140128,Noby Augustine,IND,62
0,50,Pattambi,179768,140128,,NOTA,435
1,50,Pattambi,179768,140128,,Rejected votes,9
2,50,Pattambi,179768,140128,,Votes not retrieved from EVM,0
