,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,51,Shornur,184811,141674,P. K. Sasi,CPIM,66165
2,51,Shornur,184811,141674,C. Sangeetha,INC,41618
3,51,Shornur,184811,141674,V. P. Chandran,BDJS,28836
4,51,Shornur,184811,141674,M. Saidalavi,SDPI,1246
5,51,Shornur,184811,141674,Haris Muhammad,IND,882
6,51,Shornur,184811,141674,K. K. Anandan,BSP,764
7,51,Shornur,184811,141674,A. Radhakrishnan,IND,697
8,51,Shornur,184811,141674,P. K. Anumon,SS,407
9,51,Shornur,184811,141674,Moideeensha Moloor,IND,247
0,51,Shornur,184811,141674,,NOTA,800
1,51,Shornur,184811,141674,,Rejected votes,12
2,51,Shornur,184811,141674,,Votes not retrieved from EVM,0
