,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,52,Ottapalam,197601,150223,P. Unni,CPIM,67161
2,52,Ottapalam,197601,150223,Shanimol Osman,INC,51073
3,52,Ottapalam,197601,150223,P. Venugopalan,BJP,27605
4,52,Ottapalam,197601,150223,A. A. Sulfikar,SDPI,1166
5,52,Ottapalam,197601,150223,K. T. Padmini,BSP,811
6,52,Ottapalam,197601,150223,S. R. Prakash,IND,805
7,52,Ottapalam,197601,150223,M. S. Suneesh,SS,399
8,52,Ottapalam,197601,150223,Suresh Velayudhan,IND,179
0,52,Ottapalam,197601,150223,,NOTA,1013
1,52,Ottapalam,197601,150223,,Rejected votes,12
2,52,Ottapalam,197601,150223,,Votes not retrieved from EVM,0
