,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,54,Mannarkad,189358,148512,N. Samsudheen,IUML,73163
2,54,Mannarkad,189358,148512,K. P. Suresh Raj,CPI,60838
3,54,Mannarkad,189358,148512,Kesavadev Puthumana,BDJS,10170
4,54,Mannarkad,189358,148512,M. Sulaiman,WPI,1112
5,54,Mannarkad,189358,148512,Shamsudheen Thottasseri,IND,622
6,54,Mannarkad,189358,148512,K. Ajikumar,CPIMLR,478
7,54,Mannarkad,189358,148512,E. V. George Kutty,IND,445
8,54,Mannarkad,189358,148512,Yoosaf Alanallur,SDPI,412
9,54,Mannarkad,189358,148512,M. Suresh Babu,SS,331
0,54,Mannarkad,189358,148512,,NOTA,927
1,54,Mannarkad,189358,148512,,Rejected votes,14
2,54,Mannarkad,189358,148512,,Votes not retrieved from EVM,0
