,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,55,Malampuzha,202815,159760,V. S. Achuthanandan,CPIM,73299
2,55,Malampuzha,202815,159760,C. Krishnakumar,BJP,46157
3,55,Malampuzha,202815,159760,V. S. Joy,INC,35333
4,55,Malampuzha,202815,159760,C. P. Sreedharan,AIADMK,3154
5,55,Malampuzha,202815,159760,Ravi Pallatheri,BSP,326
6,55,Malampuzha,202815,159760,Ramesh Puduppariyaram,IND,297
7,55,Malampuzha,202815,159760,S. Saravanan,IND,220
0,55,Malampuzha,202815,159760,,NOTA,924
1,55,Malampuzha,202815,159760,,Rejected votes,50
2,55,Malampuzha,202815,159760,,Votes not retrieved from EVM,0
