,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,58,Chittur,185978,154466,K. Krishnankutty,JDS,69270
2,58,Chittur,185978,154466,K. Achuthan,INC,61985
3,58,Chittur,185978,154466,M. Sasikumar,BJP,12537
4,58,Chittur,185978,154466,Mayilswamy,AIADMK,6212
5,58,Chittur,185978,154466,Santha,IND,679
6,58,Chittur,185978,154466,Krishnankutty Kunnath House,IND,672
7,58,Chittur,185978,154466,P. C. Ramachandran,BSP,571
8,58,Chittur,185978,154466,Achuthan Thanka Nivas,IND,495
9,58,Chittur,185978,154466,A. Rajeena,SUCIC,442
10,58,Chittur,185978,154466,A. Krishnankutty Aramuri,IND,157
0,58,Chittur,185978,154466,,NOTA,1260
1,58,Chittur,185978,154466,,Rejected votes,186
2,58,Chittur,185978,154466,,Votes not retrieved from EVM,0
