,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,59,Nenmara,190746,154601,K. Babu,CPIM,66316
2,59,Nenmara,190746,154601,A. V Gopinathan,INC,58908
3,59,Nenmara,190746,154601,N. Sivarajan,BJP,23096
4,59,Nenmara,190746,154601,K. Menaka,AIADMK,2186
5,59,Nenmara,190746,154601,Ajith Kollengode,WPI,772
6,59,Nenmara,190746,154601,S. Sakkir Hussain,SDPI,487
7,59,Nenmara,190746,154601,Mohandasan,IND,461
8,59,Nenmara,190746,154601,Babu Chathan,IND,324
9,59,Nenmara,190746,154601,Babu Kumaran,IND,239
10,59,Nenmara,190746,154601,Babu Thathakutty,IND,233
11,59,Nenmara,190746,154601,Babu Vasu,IND,204
12,59,Nenmara,190746,154601,M. Vinod,SS,168
13,59,Nenmara,190746,154601,Gopinathan Balakrishnan,IND,131
0,59,Nenmara,190746,154601,,NOTA,1053
1,59,Nenmara,190746,154601,,Rejected votes,26
2,59,Nenmara,190746,154601,,Votes not retrieved from EVM,0
