,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,63,Guruvayoor,201591,147684,K. V. Abdul Khader,CPIM,66088
2,63,Guruvayoor,201591,147684,P. M. Sadiqali,IUML,50990
3,63,Guruvayoor,201591,147684,Nivedida,BJP,25490
4,63,Guruvayoor,201591,147684,P. R. Siyad,SDPI,1406
5,63,Guruvayoor,201591,147684,K. G. Mohanan,WPI,1382
6,63,Guruvayoor,201591,147684,Muhammed Rasheed Arakkal,PDP,915
7,63,Guruvayoor,201591,147684,C. V. Premarajan,SUCIC,314
8,63,Guruvayoor,201591,147684,Abdulkhader Kumbilavalappil,IND,256
9,63,Guruvayoor,201591,147684,Sasi Anjoor,IND,204
0,63,Guruvayoor,201591,147684,,NOTA,605
1,63,Guruvayoor,201591,147684,,Rejected votes,30
2,63,Guruvayoor,201591,147684,,Votes not retrieved from EVM,0
