,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,64,Manalur,211827,162642,Murali Perunelly,CPIM,70422
2,64,Manalur,211827,162642,O. Abdu Rahmankutty,INC,51097
3,64,Manalur,211827,162642,A. N. Radhakrishnan,BJP,37680
4,64,Manalur,211827,162642,K. K. Hussair,SDPI,1180
5,64,Manalur,211827,162642,N. A. Abhayan,BSP,588
6,64,Manalur,211827,162642,Moidutty Haji,PDP,529
7,64,Manalur,211827,162642,Shaji Kurian Pananghat,IND,262
8,64,Manalur,211827,162642,Soman Pillai,IND,132
0,64,Manalur,211827,162642,,NOTA,730
1,64,Manalur,211827,162642,,Rejected votes,28
2,64,Manalur,211827,162642,,Votes not retrieved from EVM,0
