,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,66,Ollur,193385,150727,K. Rajan,CPI,71666
2,66,Ollur,193385,150727,M. P. Vincent,INC,58418
3,66,Ollur,193385,150727,P. K. Santhosh (Lala),BDJS,17694
4,66,Ollur,193385,150727,Majeed Mullakara,PDP,696
5,66,Ollur,193385,150727,Sajimon Manjamattam,CPIMLR,334
6,66,Ollur,193385,150727,M. D. Vincent Marottikkal,IND,279
7,66,Ollur,193385,150727,K. G. Rajan,IND,267
8,66,Ollur,193385,150727,V. N. Asokan,IND,214
0,66,Ollur,193385,150727,,NOTA,1151
1,66,Ollur,193385,150727,,Rejected votes,8
2,66,Ollur,193385,150727,,Votes not retrieved from EVM,0
