,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,67,Thrissur,172294,127234,V. S. Sunilkumar,CPI,53664
2,67,Thrissur,172294,127234,Padmaja Venugopal,INC,46677
3,67,Thrissur,172294,127234,B. Gopalakrishnan,BJP,24748
4,67,Thrissur,172294,127234,Antony J. Maliakal,IND,256
5,67,Thrissur,172294,127234,P. S. Unnikrishnan,SP,226
6,67,Thrissur,172294,127234,Raji Mani,PDP,154
7,67,Thrissur,172294,127234,S. T. Paramasivan,IND,153
8,67,Thrissur,172294,127234,M. Pradeepan,SUCIC,111
9,67,Thrissur,172294,127234,K. V. Santhakumary,IGP,74
0,67,Thrissur,172294,127234,,NOTA,1128
1,67,Thrissur,172294,127234,,Rejected votes,47
2,67,Thrissur,172294,127234,,Votes not retrieved from EVM,0
