,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,68,Nattika,196670,150484,Geetha Gopi,CPI,70218
2,68,Nattika,196670,150484,K. V. Dasan,INC,43441
3,68,Nattika,196670,150484,T. V. Babu,BDJS,33650
4,68,Nattika,196670,150484,Arumughan Snehatheeram,PDP,534
5,68,Nattika,196670,150484,A. K. Santhosh,BSP,530
6,68,Nattika,196670,150484,T. K. Prasad,IND,502
7,68,Nattika,196670,150484,N. M. Pushpangadhan,CPIMLR,253
8,68,Nattika,196670,150484,Chandran Vakeel,IND,168
9,68,Nattika,196670,150484,K. B. Ninu,IND,163
10,68,Nattika,196670,150484,N. Sivadas,IGP,150
0,68,Nattika,196670,150484,,NOTA,903
1,68,Nattika,196670,150484,,Rejected votes,15
2,68,Nattika,196670,150484,,Votes not retrieved from EVM,0
