,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,69,Kaipamangalam,169649,134729,E. T. Taison Master,CPI,66824
2,69,Kaipamangalam,169649,134729,M. T. Muhammed Nahas,RSP,33384
3,69,Kaipamangalam,169649,134729,Unnikrishnan Thashnath,BDJS,30041
4,69,Kaipamangalam,169649,134729,K. K. Shajahan,WPI,2002
5,69,Kaipamangalam,169649,134729,P. M. Abdul Kareem,PDP,624
6,69,Kaipamangalam,169649,134729,K. H. Mohammed Rafeek,SDPI,564
7,69,Kaipamangalam,169649,134729,P. A. Kuttappan,IND,257
8,69,Kaipamangalam,169649,134729,Biju Ittithara,IND,238
9,69,Kaipamangalam,169649,134729,N. D. Venu,CPIMLR,227
0,69,Kaipamangalam,169649,134729,,NOTA,565
1,69,Kaipamangalam,169649,134729,,Rejected votes,13
2,69,Kaipamangalam,169649,134729,,Votes not retrieved from EVM,0
