,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,71,Puthukkad,195224,158731,C. Raveendranath,CPIM,79464
2,71,Puthukkad,195224,158731,Sundaran Kunnathully,INC,40986
3,71,Puthukkad,195224,158731,A. Nagesh (Parameswaran),BJP,35833
4,71,Puthukkad,195224,158731,Asif Niyas,PDP,519
5,71,Puthukkad,195224,158731,C. V. Vijayan,IND,431
6,71,Puthukkad,195224,158731,Santhosh Polakulath,SS,239
7,71,Puthukkad,195224,158731,Jayan Konikkara,CPIML,237
8,71,Puthukkad,195224,158731,Santhosh Iythadan,IND,233
0,71,Puthukkad,195224,158731,,NOTA,779
1,71,Puthukkad,195224,158731,,Rejected votes,12
2,71,Puthukkad,195224,158731,,Votes not retrieved from EVM,0
