,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,72,Chalakkudy,190620,150427,B. D. Devassy,CPIM,74251
2,72,Chalakkudy,190620,150427,T. U. Radhakrishnan,INC,47603
3,72,Chalakkudy,190620,150427,K. A. Unnikrishnan,BDJS,26229
4,72,Chalakkudy,190620,150427,Ayyappan Vazhzvalappil,BSP,561
5,72,Chalakkudy,190620,150427,Jijo,IND,367
6,72,Chalakkudy,190620,150427,Sabu Chathely,IND,304
7,72,Chalakkudy,190620,150427,A. E. Sabira,IND,191
8,72,Chalakkudy,190620,150427,N. A. Devassy Nellippilly,IND,149
0,72,Chalakkudy,190620,150427,,NOTA,739
1,72,Chalakkudy,190620,150427,,Rejected votes,35
2,72,Chalakkudy,190620,150427,,Votes not retrieved from EVM,0
