,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,73,Kodungallur,186690,148622,V. R. Sunilkumar,CPI,67909
2,73,Kodungallur,186690,148622,K. P. Dhanapalan,INC,45118
3,73,Kodungallur,186690,148622,Sangeetha Viswanathan,BDJS,32793
4,73,Kodungallur,186690,148622,A. K. Manaf,SDPI,558
5,73,Kodungallur,186690,148622,C. K. Radhakrishnan,IND,411
6,73,Kodungallur,186690,148622,P. K. Subramanian,BSP,367
7,73,Kodungallur,186690,148622,Rajan Painat,IND,210
8,73,Kodungallur,186690,148622,C. S. Krishnakumar,SUCIC,200
9,73,Kodungallur,186690,148622,Kattu Kandathil Joshy Kumar,IND,125
0,73,Kodungallur,186690,148622,,NOTA,886
1,73,Kodungallur,186690,148622,,Rejected votes,45
2,73,Kodungallur,186690,148622,,Votes not retrieved from EVM,0
