,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,74,Perumbavoor,172897,145733,Eldhose Kunnappilly,INC,64285
2,74,Perumbavoor,172897,145733,Saju Paul,CPIM,57197
3,74,Perumbavoor,172897,145733,E. S. Biju,BJP,19731
4,74,Perumbavoor,172897,145733,V. K. Shoukkath Ali,SDPI,2061
5,74,Perumbavoor,172897,145733,Thomas K. George,WPI,971
6,74,Perumbavoor,172897,145733,John Peruvanthanam,IND,385
7,74,Perumbavoor,172897,145733,M. M. Yoosaf,IND,134
8,74,Perumbavoor,172897,145733,P. K. Sivan,IND,132
0,74,Perumbavoor,172897,145733,,NOTA,831
1,74,Perumbavoor,172897,145733,,Rejected votes,6
2,74,Perumbavoor,172897,145733,,Votes not retrieved from EVM,0
