,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,75,Angamaly,163628,136173,Roji M. John,INC,66666
2,75,Angamaly,163628,136173,Benny Moonjely,JDS,57480
3,75,Angamaly,163628,136173,P. J. Babu,KCTH,9014
4,75,Angamaly,163628,136173,Jayanthi Velayudhan,BSP,742
5,75,Angamaly,163628,136173,M. K. Kanjanavally,SUCIC,595
6,75,Angamaly,163628,136173,P. R. Manikyamangalam (P R Mohan,IND,385
7,75,Angamaly,163628,136173,Sunny Thomas Madassery,IND,245
8,75,Angamaly,163628,136173,Shajan Thattil,SP,219
0,75,Angamaly,163628,136173,,NOTA,811
1,75,Angamaly,163628,136173,,Rejected votes,16
2,75,Angamaly,163628,136173,,Votes not retrieved from EVM,0
