,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,76,Aluva,176415,146864,Anwar Sadath,INC,69568
2,76,Aluva,176415,146864,V. Saleem,CPIM,50733
3,76,Aluva,176415,146864,Latha Gangadharan,BJP,19349
4,76,Aluva,176415,146864,P. I. Samad,WPI,2031
5,76,Aluva,176415,146864,Jose Mavely,IND,1726
6,76,Aluva,176415,146864,Ajmal Ismayil,SDPI,1716
7,76,Aluva,176415,146864,Nazar Kodikuthumala,PDP,480
8,76,Aluva,176415,146864,C. A. Shamsudeen,IND,138
9,76,Aluva,176415,146864,A. Brahmakumar,SUCIC,114
10,76,Aluva,176415,146864,Rejimon,IND,114
11,76,Aluva,176415,146864,Khalid Mundappilly,IND,86
0,76,Aluva,176415,146864,,NOTA,750
1,76,Aluva,176415,146864,,Rejected votes,59
2,76,Aluva,176415,146864,,Votes not retrieved from EVM,0
