,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,77,Kalamassery,190479,154947,V. K. Ebrahim Kunju,IUML,68726
2,77,Kalamassery,190479,154947,A. M. Yousaf,CPIM,56608
3,77,Kalamassery,190479,154947,V. Gopakumar,BDJS,24244
4,77,Kalamassery,190479,154947,Shafeer Muhammed,SDPI,1706
5,77,Kalamassery,190479,154947,Prema G. Pisharady,WPI,1391
6,77,Kalamassery,190479,154947,V. M. Aliyar,PDP,634
7,77,Kalamassery,190479,154947,N. A. Unnikrishnan,IND,182
8,77,Kalamassery,190479,154947,Yussuf Kodoppilly,IND,155
9,77,Kalamassery,190479,154947,P. K. Yousef Panthalakkodath,IND,155
0,77,Kalamassery,190479,154947,,NOTA,1081
1,77,Kalamassery,190479,154947,,Rejected votes,65
2,77,Kalamassery,190479,154947,,Votes not retrieved from EVM,0
