,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,78,Paravur,191255,160589,V. D. Satheesan,INC,74985
2,78,Paravur,191255,160589,Sarada Mohan,CPI,54351
3,78,Paravur,191255,160589,Hari Vijayan,BDJS,28097
4,78,Paravur,191255,160589,V. M. Faizal,SDPI,923
5,78,Paravur,191255,160589,K. K. Sijikumar,BSP,557
6,78,Paravur,191255,160589,Shinsa Selvaraj,IND,302
7,78,Paravur,191255,160589,Sathyanesan,IND,261
8,78,Paravur,191255,160589,Jose Thomas,IND,200
0,78,Paravur,191255,160589,,NOTA,900
1,78,Paravur,191255,160589,,Rejected votes,15
2,78,Paravur,191255,160589,,Votes not retrieved from EVM,0
