,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,79,Vypen,164193,131187,S. Sarma,CPIM,68526
2,79,Vypen,164193,131187,K. R. Subhash,INC,49173
3,79,Vypen,164193,131187,K. K. Vamalochanan,BDJS,10051
4,79,Vypen,164193,131187,Jyothivas Paravur,WPI,1406
5,79,Vypen,164193,131187,Manjuladevi,CPIMLR,248
6,79,Vypen,164193,131187,Rajeev Naagan,API,231
7,79,Vypen,164193,131187,K. S. Subhash Kizhakke Padathara,IND,217
8,79,Vypen,164193,131187,K. D. Viswanathan,PDP,183
9,79,Vypen,164193,131187,Kodickal Sadasivan,IND,136
10,79,Vypen,164193,131187,S. D. Satheesh,IND,88
0,79,Vypen,164193,131187,,NOTA,910
1,79,Vypen,164193,131187,,Rejected votes,18
2,79,Vypen,164193,131187,,Votes not retrieved from EVM,0
