,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,80,Kochi,171356,123985,K. J. Maxi,CPIM,47967
2,80,Kochi,171356,123985,Dominic Presentation,INC,46881
3,80,Kochi,171356,123985,Praveen Dhamodara Prabhu,BJP,15212
4,80,Kochi,171356,123985,K. J. Leenus,IND,7588
5,80,Kochi,171356,123985,A. S. Muhammed,WPI,2357
6,80,Kochi,171356,123985,Sulfikar Ali,SDPI,2108
7,80,Kochi,171356,123985,T. P. Antony,PDP,386
8,80,Kochi,171356,123985,Johny Stephen,IND,180
9,80,Kochi,171356,123985,K. S. Jayaraj,IND,172
10,80,Kochi,171356,123985,Abdul Samad,IND,101
0,80,Kochi,171356,123985,,NOTA,1002
1,80,Kochi,171356,123985,,Rejected votes,31
2,80,Kochi,171356,123985,,Votes not retrieved from EVM,0
