,No.,Constituency,No. of voters,Turn out,Name of the Candidate,Party,Votes
1,81,Thripunithura,198222,154687,M. Swaraj,CPIM,62697
2,81,Thripunithura,198222,154687,K. Babu,INC,58230
3,81,Thripunithura,198222,154687,Thuravoor Viswambharan,BJP,29843
4,81,Thripunithura,198222,154687,T. A. Kamarudheen,BSP,683
5,81,Thripunithura,198222,154687,Sudheer Yusuf,SDPI,594
6,81,Thripunithura,198222,154687,Padmini D. Nettoor,PDP,410
7,81,Thripunithura,198222,154687,Swaraj Manickathan,IND,394
8,81,Thripunithura,198222,154687,Saju Kolattukudi,IND,172
9,81,Thripunithura,198222,154687,M. P. Sudha,SUCIC,156
10,81,Thripunithura,198222,154687,Sonia Jose,IND,128
11,81,Thripunithura,198222,154687,Gireesh Babu,IND,122
12,81,Thripunithura,198222,154687,K. N. Pradeep,IND,116
13,81,Thripunithura,198222,154687,Ayyappan,IND,112
0,81,Thripunithura,198222,154687,,NOTA,1028
1,81,Thripunithura,198222,154687,,Rejected votes,2
2,81,Thripunithura,198222,154687,,Votes not retrieved from EVM,0
